onset	duration	trial_type
2.12	0.3	1_dot
2.82	0.3	1_dot
3.52	0.3	1_dot
4.22	0.3	1_dot
4.92	0.3	1_dot
5.62	0.3	1_dot
6.32	0.3	2_dot
7.02	0.3	2_dot_attn
7.7122	0.0	button_press
7.72	0.3	2_dot
8.42	0.3	2_dot
9.12	0.3	2_dot
9.82	0.3	2_dot
10.52	0.3	3_dot
11.22	0.3	3_dot
11.92	0.32	3_dot
12.62	0.3	3_dot
13.32	0.3	3_dot
14.02	0.3	3_dot
14.72	0.3	4_dot
15.42	0.3	4_dot
16.12	0.3	4_dot
16.82	0.3	4_dot
17.52	0.3	4_dot
18.22	0.3	4_dot
18.92	0.3	5_dot
19.62	0.3	5_dot
20.32	0.3	5_dot
21.02	0.3	5_dot
21.72	0.3	5_dot
22.42	0.3	5_dot
23.14	0.3	20_dot
23.84	0.3	20_dot_attn
24.1237	0.0	button_press
24.54	0.3	20_dot
25.24	0.3	20_dot
25.94	0.3	20_dot_attn
26.2405	0.0	button_press
26.64	0.3	20_dot
27.34	0.3	20_dot
28.04	0.3	20_dot_attn
28.7218	0.0	button_press
28.74	0.3	20_dot
29.44	0.3	20_dot
30.14	0.3	20_dot
30.84	0.3	20_dot
31.54	0.3	20_dot
32.24	0.3	20_dot
32.94	0.3	20_dot
33.64	0.3	20_dot
34.34	0.3	20_dot
35.04	0.3	20_dot_attn
35.7223	0.0	button_press
35.74	0.3	20_dot
36.44	0.3	20_dot
37.14	0.3	20_dot
37.84	0.3	20_dot_attn
38.5226	0.0	button_press
38.54	0.3	20_dot
39.24	0.3	20_dot
39.92	0.3	5_dot
40.62	0.3	5_dot
41.32	0.3	5_dot
42.02	0.3	5_dot
42.72	0.3	5_dot
43.42	0.3	5_dot
44.12	0.3	4_dot
44.82	0.3	4_dot
45.52	0.3	4_dot
46.22	0.3	4_dot
46.92	0.3	4_dot
47.62	0.3	4_dot
48.32	0.3	3_dot
49.02	0.3	3_dot_attn
49.7112	0.0	button_press
49.72	0.3	3_dot
50.42	0.3	3_dot
51.12	0.3	3_dot
51.82	0.3	3_dot
52.52	0.3	2_dot
53.22	0.3	2_dot
53.92	0.3	2_dot
54.62	0.3	2_dot
55.32	0.3	2_dot
56.02	0.32	2_dot
56.72	0.3	1_dot
57.42	0.3	1_dot
58.12	0.3	1_dot
58.82	0.3	1_dot
59.52	0.3	1_dot
60.22	0.3	1_dot
60.94	0.3	20_dot
61.64	0.3	20_dot
62.34	0.3	20_dot
63.04	0.3	20_dot
63.73	0.3	20_dot
64.43	0.3	20_dot
65.13	0.3	20_dot
65.83	0.3	20_dot
66.53	0.3	20_dot
67.23	0.3	20_dot
67.93	0.3	20_dot
68.63	0.3	20_dot
69.33	0.3	20_dot
70.03	0.3	20_dot
70.73	0.3	20_dot
71.43	0.3	20_dot
72.13	0.3	20_dot
72.83	0.3	20_dot
73.53	0.3	20_dot
74.23	0.3	20_dot_attn
74.9227	0.0	button_press
74.93	0.3	20_dot
75.63	0.3	20_dot
76.33	0.3	20_dot
77.03	0.3	20_dot
77.72	0.32	1_dot
78.42	0.32	1_dot
79.12	0.32	1_dot_attn
79.8099	0.0	button_press
79.82	0.32	1_dot
80.52	0.32	1_dot
81.22	0.32	1_dot_attn
81.9105	0.0	button_press
