onset	duration	trial_type
2.13	0.3	1_dot
2.81	0.32	1_dot
3.51	0.32	1_dot
4.21	0.32	1_dot
4.91	0.32	1_dot
5.61	0.32	1_dot
6.31	0.32	2_dot
7.01	0.32	2_dot
7.71	0.32	2_dot
8.41	0.32	2_dot
9.11	0.32	2_dot_attn
9.807	0.0	button_press
9.81	0.32	2_dot
10.51	0.32	3_dot
11.21	0.32	3_dot
11.91	0.32	3_dot_attn
12.2217	0.0	button_press
12.61	0.32	3_dot
13.31	0.32	3_dot
14.01	0.32	3_dot
14.73	0.3	4_dot
15.43	0.3	4_dot
16.13	0.3	4_dot_attn
16.8084	0.0	button_press
16.83	0.3	4_dot
17.53	0.3	4_dot
18.23	0.3	4_dot
18.93	0.3	5_dot
19.63	0.3	5_dot
20.33	0.3	5_dot
21.03	0.3	5_dot_attn
21.7089	0.0	button_press
21.73	0.3	5_dot_attn
22.4088	0.0	button_press
22.43	0.3	5_dot
23.13	0.3	20_dot_attn
23.43	0.0	button_press
23.83	0.3	20_dot
24.54	0.3	20_dot_attn
24.8298	0.0	button_press
25.23	0.3	20_dot
25.93	0.3	20_dot
26.63	0.3	20_dot
27.33	0.3	20_dot
28.03	0.3	20_dot
28.73	0.3	20_dot
29.44	0.3	20_dot
30.13	0.3	20_dot
30.83	0.3	20_dot_attn
31.5243	0.0	button_press
31.54	0.3	20_dot
32.23	0.3	20_dot
32.93	0.3	20_dot
33.64	0.3	20_dot_attn
34.3202	0.0	button_press
34.33	0.3	20_dot_attn
35.0183	0.0	button_press
35.03	0.3	20_dot
35.73	0.3	20_dot
36.43	0.3	20_dot
37.13	0.3	20_dot
37.83	0.3	20_dot
38.54	0.3	20_dot
39.23	0.3	20_dot
39.93	0.3	5_dot
40.63	0.3	5_dot
41.32	0.3	5_dot
42.02	0.3	5_dot
42.73	0.32	5_dot
43.42	0.32	5_dot
44.13	0.3	4_dot
44.82	0.3	4_dot
45.53	0.3	4_dot
46.22	0.3	4_dot
46.92	0.3	4_dot
47.62	0.3	4_dot
48.32	0.32	3_dot
49.02	0.3	3_dot
49.72	0.32	3_dot
50.42	0.32	3_dot_attn
51.1079	0.0	button_press
51.12	0.3	3_dot
51.82	0.32	3_dot
52.52	0.32	2_dot
53.22	0.32	2_dot
53.92	0.32	2_dot_attn
54.6072	0.0	button_press
54.62	0.3	2_dot
55.32	0.32	2_dot
56.02	0.32	2_dot
56.72	0.32	1_dot
57.42	0.32	1_dot
58.12	0.32	1_dot
58.82	0.32	1_dot
59.52	0.32	1_dot
60.22	0.32	1_dot
60.92	0.32	20_dot
61.64	0.3	20_dot_attn
62.32	0.32	20_dot
63.04	0.3	20_dot
63.72	0.32	20_dot
64.44	0.3	20_dot
65.14	0.3	20_dot
65.84	0.3	20_dot
66.54	0.3	20_dot
67.24	0.3	20_dot
67.94	0.3	20_dot
68.64	0.3	20_dot
69.34	0.3	20_dot
70.04	0.3	20_dot
70.74	0.3	20_dot
71.44	0.3	20_dot
72.12	0.32	20_dot
72.82	0.32	20_dot
73.52	0.32	20_dot
74.24	0.3	20_dot
74.94	0.3	20_dot
75.64	0.3	20_dot
76.34	0.3	20_dot
77.04	0.3	20_dot
77.72	0.32	1_dot
78.42	0.32	1_dot
79.12	0.32	1_dot
