onset	duration	trial_type
2.14	0.3	1_dot
2.84	0.3	1_dot
3.54	0.3	1_dot_attn
4.2232	0.0	button_press
4.24	0.3	1_dot
4.94	0.3	1_dot
5.64	0.3	1_dot
6.34	0.3	2_dot
7.04	0.3	2_dot
7.74	0.3	2_dot
8.44	0.3	2_dot_attn
9.1242	0.0	button_press
9.14	0.3	2_dot
9.84	0.3	2_dot
10.54	0.3	3_dot
11.24	0.3	3_dot
11.94	0.3	3_dot
12.64	0.3	3_dot
13.34	0.3	3_dot
14.04	0.3	3_dot
14.74	0.3	4_dot
15.44	0.3	4_dot
16.14	0.3	4_dot_attn
16.8253	0.0	button_press
16.84	0.3	4_dot
17.54	0.3	4_dot
18.24	0.3	4_dot
18.94	0.3	5_dot
19.64	0.3	5_dot
20.34	0.3	5_dot_attn
21.0255	0.0	button_press
21.04	0.3	5_dot
21.74	0.3	5_dot
22.44	0.3	5_dot
23.16	0.28	20_dot
23.86	0.28	20_dot
24.54	0.3	20_dot
25.26	0.28	20_dot
25.94	0.3	20_dot
26.64	0.3	20_dot
27.36	0.28	20_dot
28.04	0.3	20_dot
28.74	0.3	20_dot
29.46	0.3	20_dot
30.14	0.3	20_dot
30.86	0.3	20_dot
31.54	0.3	20_dot
32.26	0.28	20_dot
32.96	0.3	20_dot
33.64	0.3	20_dot
34.36	0.3	20_dot
35.06	0.3	20_dot
35.76	0.3	20_dot
36.46	0.3	20_dot
37.16	0.3	20_dot
37.86	0.3	20_dot
38.56	0.3	20_dot
39.26	0.3	20_dot
39.94	0.3	5_dot
40.64	0.3	5_dot
41.34	0.3	5_dot
42.04	0.3	5_dot
42.74	0.3	5_dot
43.44	0.3	5_dot_attn
44.1252	0.0	button_press
44.14	0.3	4_dot
44.84	0.3	4_dot
45.54	0.3	4_dot
46.24	0.3	4_dot
46.94	0.3	4_dot
47.64	0.3	4_dot
48.34	0.3	3_dot
49.04	0.3	3_dot
49.74	0.3	3_dot_attn
50.4246	0.0	button_press
50.44	0.3	3_dot
51.14	0.3	3_dot
51.84	0.3	3_dot
52.54	0.3	2_dot
53.24	0.3	2_dot_attn
53.9239	0.0	button_press
53.94	0.3	2_dot_attn
54.6239	0.0	button_press
54.64	0.3	2_dot_attn
55.3239	0.0	button_press
55.34	0.3	2_dot
56.04	0.3	2_dot
56.74	0.3	1_dot
57.44	0.3	1_dot
58.14	0.3	1_dot
58.84	0.3	1_dot
59.54	0.3	1_dot
60.24	0.3	1_dot
60.95	0.3	20_dot_attn
61.6414	0.0	button_press
61.65	0.3	20_dot
62.35	0.3	20_dot
63.05	0.3	20_dot
63.75	0.3	20_dot
64.45	0.3	20_dot
65.15	0.3	20_dot
65.85	0.3	20_dot
66.55	0.3	20_dot
67.25	0.3	20_dot_attn
67.9378	0.0	button_press
67.95	0.3	20_dot
68.65	0.3	20_dot
69.35	0.3	20_dot
70.05	0.3	20_dot
70.75	0.3	20_dot
71.45	0.3	20_dot
72.15	0.3	20_dot
72.85	0.3	20_dot
73.55	0.3	20_dot
74.25	0.3	20_dot
74.95	0.3	20_dot
75.65	0.3	20_dot
76.35	0.3	20_dot
77.05	0.3	20_dot
77.74	0.3	1_dot
78.44	0.3	1_dot
79.13	0.3	1_dot
79.84	0.3	1_dot
80.53	0.3	1_dot
81.23	0.3	1_dot
81.93	0.3	2_dot
82.63	0.32	2_dot
83.33	0.32	2_dot
84.03	0.32	2_dot
84.73	0.3	2_dot
85.43	0.3	2_dot
86.13	0.3	3_dot
86.83	0.3	3_dot
87.53	0.3	3_dot_attn
88.2246	0.0	button_press
88.23	0.3	3_dot
88.93	0.3	3_dot
89.63	0.3	3_dot
90.33	0.3	4_dot
91.03	0.3	4_dot
91.73	0.3	4_dot_attn
92.4252	0.0	button_press
92.43	0.3	4_dot
93.13	0.3	4_dot
93.83	0.3	4_dot
94.53	0.3	5_dot
95.23	0.3	5_dot
95.93	0.3	5_dot
96.63	0.32	5_dot
97.33	0.32	5_dot
98.03	0.32	5_dot
98.75	0.3	20_dot
99.45	0.3	20_dot
100.15	0.3	20_dot
100.85	0.3	20_dot
101.55	0.3	20_dot
102.25	0.3	20_dot
102.95	0.3	20_dot
103.65	0.3	20_dot_attn
104.3355	0.0	button_press
104.35	0.3	20_dot_attn
105.0365	0.0	button_press
105.05	0.3	20_dot
105.75	0.3	20_dot
106.45	0.3	20_dot_attn
107.1422	0.0	button_press
107.15	0.3	20_dot
107.85	0.3	20_dot
108.55	0.3	20_dot
109.25	0.3	20_dot
109.95	0.3	20_dot
110.65	0.3	20_dot
111.35	0.3	20_dot
112.05	0.3	20_dot
112.75	0.3	20_dot
113.45	0.3	20_dot_attn
114.1399	0.0	button_press
114.15	0.3	20_dot
114.85	0.3	20_dot
115.53	0.32	5_dot
116.23	0.32	5_dot_attn
116.5517	0.0	button_press
116.93	0.32	5_dot
117.63	0.32	5_dot
118.33	0.32	5_dot
119.03	0.32	5_dot
119.73	0.32	4_dot
120.43	0.32	4_dot
121.13	0.32	4_dot
121.83	0.32	4_dot
122.53	0.32	4_dot
123.23	0.32	4_dot
123.93	0.32	3_dot
124.63	0.32	3_dot
125.33	0.32	3_dot
126.03	0.32	3_dot_attn
126.725	0.0	button_press
126.73	0.32	3_dot
127.43	0.32	3_dot
128.13	0.32	2_dot
128.83	0.32	2_dot
129.53	0.32	2_dot
130.23	0.32	2_dot
130.93	0.32	2_dot
131.63	0.32	2_dot
132.33	0.32	1_dot_attn
132.6361	0.0	button_press
133.03	0.32	1_dot
133.73	0.32	1_dot
134.43	0.32	1_dot
135.13	0.32	1_dot_attn
135.8234	0.0	button_press
135.83	0.32	1_dot
136.55	0.3	20_dot
137.25	0.3	20_dot_attn
137.9374	0.0	button_press
137.95	0.3	20_dot
138.6366	0.0	button_press
138.65	0.3	20_dot
139.35	0.3	20_dot
140.05	0.3	20_dot
140.75	0.3	20_dot
141.45	0.3	20_dot_attn
142.1374	0.0	button_press
142.15	0.3	20_dot
142.85	0.3	20_dot
143.55	0.3	20_dot
144.25	0.3	20_dot_attn
144.9359	0.0	button_press
144.95	0.3	20_dot
145.65	0.3	20_dot
146.35	0.3	20_dot_attn
147.0375	0.0	button_press
147.05	0.3	20_dot
147.75	0.3	20_dot
148.45	0.3	20_dot
149.15	0.3	20_dot
149.85	0.3	20_dot_attn
150.5374	0.0	button_press
150.54	0.3	20_dot
151.24	0.3	20_dot_attn
151.94	0.3	20_dot
151.9408	0.0	button_press
152.64	0.3	20_dot
153.33	0.32	1_dot
154.03	0.32	1_dot
154.73	0.32	1_dot
155.43	0.32	1_dot
156.13	0.32	1_dot
156.83	0.32	1_dot
157.53	0.32	2_dot_attn
158.2239	0.0	button_press
158.23	0.32	2_dot
158.93	0.32	2_dot
159.63	0.32	2_dot
160.33	0.32	2_dot
161.03	0.32	2_dot
161.74	0.3	3_dot
162.44	0.3	3_dot
163.14	0.3	3_dot
163.84	0.3	3_dot
164.54	0.3	3_dot
165.24	0.3	3_dot
165.94	0.3	4_dot
166.64	0.3	4_dot
167.34	0.3	4_dot
168.04	0.3	4_dot
168.74	0.3	4_dot
169.44	0.3	4_dot
170.14	0.3	5_dot
170.84	0.3	5_dot_attn
171.5261	0.0	button_press
171.54	0.3	5_dot
172.24	0.3	5_dot_attn
172.5391	0.0	button_press
172.94	0.3	5_dot
173.64	0.3	5_dot
174.34	0.3	20_dot_attn
175.0358	0.0	button_press
175.04	0.3	20_dot
175.74	0.3	20_dot
176.44	0.3	20_dot
177.14	0.3	20_dot
177.84	0.3	20_dot
178.56	0.28	20_dot
179.24	0.3	20_dot
