onset	duration	trial_type
2.14	0.3	1_dot
2.82	0.32	1_dot
3.52	0.32	1_dot_attn
4.2169	0.0	button_press
4.22	0.32	1_dot
4.92	0.32	1_dot
5.62	0.32	1_dot
6.32	0.32	2_dot
7.02	0.32	2_dot
7.72	0.32	2_dot
8.42	0.32	2_dot_attn
9.1177	0.0	button_press
9.12	0.32	2_dot
9.82	0.32	2_dot
10.52	0.32	3_dot
11.22	0.32	3_dot
11.92	0.32	3_dot
12.62	0.32	3_dot
13.32	0.32	3_dot
14.02	0.32	3_dot
14.74	0.3	4_dot_attn
15.4188	0.0	button_press
15.44	0.3	4_dot
16.14	0.3	4_dot
16.84	0.3	4_dot
17.54	0.3	4_dot
18.24	0.3	4_dot
18.94	0.3	5_dot
19.64	0.3	5_dot
20.34	0.3	5_dot
21.04	0.3	5_dot
21.74	0.3	5_dot
22.44	0.3	5_dot
23.14	0.3	20_dot
23.84	0.3	20_dot
24.54	0.3	20_dot
25.24	0.3	20_dot
25.94	0.3	20_dot
26.64	0.3	20_dot
27.34	0.3	20_dot
28.04	0.3	20_dot
28.74	0.3	20_dot
29.44	0.3	20_dot
30.14	0.3	20_dot
30.84	0.3	20_dot
31.54	0.3	20_dot
32.24	0.3	20_dot
32.94	0.3	20_dot
33.65	0.28	20_dot
34.34	0.3	20_dot
35.04	0.3	20_dot
35.75	0.28	20_dot
36.44	0.3	20_dot
37.15	0.28	20_dot
37.84	0.3	20_dot
38.54	0.3	20_dot
39.24	0.3	20_dot_attn
39.9196	0.0	button_press
39.94	0.3	5_dot
40.64	0.3	5_dot
41.34	0.3	5_dot
42.04	0.3	5_dot
42.74	0.3	5_dot
43.44	0.3	5_dot_attn
44.119	0.0	button_press
44.14	0.3	4_dot
44.84	0.3	4_dot
45.54	0.3	4_dot
46.24	0.3	4_dot
46.94	0.3	4_dot
47.64	0.3	4_dot
48.34	0.3	3_dot
49.04	0.3	3_dot
49.74	0.3	3_dot
50.43	0.3	3_dot
51.13	0.3	3_dot
51.83	0.3	3_dot
52.53	0.3	2_dot
53.23	0.3	2_dot
53.93	0.3	2_dot
54.63	0.3	2_dot
55.33	0.3	2_dot_attn
56.0176	0.0	button_press
56.03	0.3	2_dot
56.73	0.3	1_dot
57.43	0.3	1_dot
58.13	0.3	1_dot
58.83	0.3	1_dot
59.53	0.3	1_dot
60.23	0.3	1_dot
60.93	0.3	20_dot
61.63	0.3	20_dot
62.35	0.3	20_dot
63.03	0.3	20_dot
63.75	0.3	20_dot
64.45	0.3	20_dot
65.15	0.3	20_dot
65.83	0.3	20_dot
66.55	0.3	20_dot
67.25	0.3	20_dot
67.93	0.3	20_dot
68.65	0.3	20_dot
69.35	0.3	20_dot
70.03	0.3	20_dot
70.75	0.3	20_dot
71.45	0.3	20_dot
72.13	0.3	20_dot
72.83	0.3	20_dot
73.55	0.3	20_dot
74.25	0.3	20_dot
74.95	0.3	20_dot
75.65	0.3	20_dot
76.33	0.3	20_dot_attn
77.0296	0.0	button_press
77.05	0.3	20_dot
77.73	0.3	1_dot
78.43	0.3	1_dot
79.13	0.3	1_dot
79.83	0.3	1_dot_attn
80.5167	0.0	button_press
80.53	0.3	1_dot_attn
81.217	0.0	button_press
81.23	0.3	1_dot
81.93	0.3	2_dot
82.63	0.3	2_dot
83.33	0.3	2_dot
84.03	0.3	2_dot
84.73	0.3	2_dot
85.43	0.3	2_dot
86.13	0.3	3_dot
86.83	0.3	3_dot
87.53	0.3	3_dot
88.23	0.3	3_dot
88.93	0.3	3_dot
89.63	0.3	3_dot
90.33	0.3	4_dot
91.03	0.3	4_dot
91.73	0.3	4_dot
92.43	0.3	4_dot_attn
93.1182	0.0	button_press
93.13	0.32	4_dot
93.83	0.3	4_dot
94.53	0.3	5_dot
95.23	0.3	5_dot_attn
95.9217	0.0	button_press
95.93	0.3	5_dot
96.63	0.3	5_dot
97.33	0.3	5_dot
98.03	0.3	5_dot
98.75	0.3	20_dot
99.45	0.3	20_dot
100.15	0.3	20_dot
100.85	0.3	20_dot
101.55	0.3	20_dot
102.25	0.3	20_dot
102.95	0.3	20_dot_attn
103.65	0.3	20_dot
103.9386	0.0	button_press
104.35	0.3	20_dot
105.05	0.3	20_dot
105.75	0.3	20_dot
106.45	0.3	20_dot
107.15	0.3	20_dot
107.85	0.3	20_dot
108.55	0.3	20_dot
109.25	0.3	20_dot
109.95	0.3	20_dot
110.65	0.3	20_dot
111.35	0.3	20_dot
112.05	0.3	20_dot
112.75	0.3	20_dot_attn
113.4298	0.0	button_press
