onset	duration	trial_type
2.13	0.3	1_dot
2.82	0.33	1_dot
3.52	0.33	1_dot
4.22	0.33	1_dot
4.92	0.33	1_dot
5.62	0.33	1_dot
6.33	0.32	2_dot
7.02	0.33	2_dot
7.72	0.33	2_dot
8.42	0.33	2_dot
9.13	0.32	2_dot
9.82	0.33	2_dot
10.53	0.32	3_dot
11.23	0.32	3_dot
11.93	0.32	3_dot
12.63	0.32	3_dot_attn
13.3147	0.0	button_press
13.33	0.32	3_dot
14.03	0.32	3_dot
14.73	0.32	4_dot
15.43	0.32	4_dot
16.13	0.32	4_dot
16.83	0.32	4_dot
17.53	0.32	4_dot
18.23	0.32	4_dot
18.93	0.32	5_dot
19.63	0.32	5_dot
20.33	0.32	5_dot
21.03	0.32	5_dot
21.73	0.32	5_dot
22.43	0.32	5_dot
23.13	0.32	20_dot
23.83	0.32	20_dot_attn
24.1329	0.0	button_press
24.53	0.32	20_dot
25.25	0.3	20_dot
25.95	0.3	20_dot
26.63	0.32	20_dot
27.35	0.3	20_dot
28.03	0.32	20_dot
28.73	0.32	20_dot
29.43	0.32	20_dot
30.13	0.32	20_dot_attn
30.8272	0.0	button_press
30.83	0.32	20_dot
31.55	0.3	20_dot
32.23	0.32	20_dot
32.93	0.32	20_dot
33.63	0.32	20_dot
34.33	0.32	20_dot
35.03	0.32	20_dot
35.75	0.3	20_dot
36.43	0.32	20_dot
37.13	0.32	20_dot
37.83	0.32	20_dot
38.53	0.32	20_dot
39.23	0.32	20_dot_attn
39.5513	0.0	button_press
39.93	0.32	5_dot
40.63	0.32	5_dot
41.33	0.32	5_dot
42.03	0.32	5_dot
42.73	0.32	5_dot
43.43	0.32	5_dot
44.13	0.32	4_dot
44.83	0.32	4_dot
45.53	0.32	4_dot_attn
46.2153	0.0	button_press
46.23	0.32	4_dot
46.93	0.32	4_dot_attn
47.6153	0.0	button_press
47.63	0.32	4_dot
48.33	0.32	3_dot
49.03	0.32	3_dot
49.73	0.32	3_dot
50.43	0.32	3_dot_attn
51.1147	0.0	button_press
51.13	0.32	3_dot
51.83	0.32	3_dot
52.53	0.32	2_dot
53.23	0.32	2_dot
