onset	duration	trial_type
151.218	0.0	button_press
151.23	0.3	20_dot
151.93	0.3	20_dot
152.63	0.3	20_dot
153.31	0.32	1_dot
154.01	0.32	1_dot
154.71	0.32	1_dot
155.41	0.32	1_dot
156.11	0.32	1_dot
156.81	0.32	1_dot
157.51	0.32	2_dot
158.21	0.32	2_dot
158.91	0.32	2_dot
159.61	0.32	2_dot
160.31	0.32	2_dot
161.01	0.32	2_dot_attn
161.71	0.32	3_dot
162.41	0.32	3_dot
163.11	0.32	3_dot_attn
163.8063	0.0	button_press
163.81	0.32	3_dot
164.51	0.32	3_dot
165.21	0.32	3_dot
165.93	0.32	4_dot
166.61	0.33	4_dot
167.33	0.32	4_dot
168.03	0.32	4_dot
168.73	0.32	4_dot
169.43	0.32	4_dot
170.13	0.32	5_dot_attn
170.83	0.32	5_dot
171.53	0.32	5_dot
172.23	0.32	5_dot
172.93	0.32	5_dot
173.63	0.32	5_dot
174.34	0.3	20_dot
175.03	0.32	20_dot
175.73	0.32	20_dot
176.43	0.32	20_dot_attn
177.13	0.32	20_dot
177.83	0.32	20_dot
178.53	0.32	20_dot
179.23	0.32	20_dot
179.93	0.32	20_dot
180.63	0.32	20_dot
181.33	0.32	20_dot
182.03	0.32	20_dot
182.73	0.32	20_dot
183.42	0.32	20_dot
184.12	0.32	20_dot
184.82	0.32	20_dot
185.52	0.32	20_dot
186.22	0.32	20_dot
186.92	0.32	20_dot
187.62	0.32	20_dot
188.34	0.3	20_dot
189.02	0.32	20_dot
189.72	0.32	20_dot
190.42	0.32	20_dot
191.12	0.32	5_dot
191.82	0.32	5_dot
192.52	0.32	5_dot
193.22	0.32	5_dot
193.92	0.32	5_dot
194.62	0.32	5_dot
195.32	0.32	4_dot
196.02	0.32	4_dot
196.72	0.32	4_dot
197.42	0.32	4_dot
198.12	0.32	4_dot
198.82	0.32	4_dot
199.52	0.32	3_dot
200.22	0.32	3_dot
200.92	0.32	3_dot
201.62	0.32	3_dot
202.32	0.32	3_dot_attn
203.0065	0.0	button_press
203.02	0.32	3_dot
203.72	0.32	2_dot
204.42	0.32	2_dot
205.12	0.32	2_dot
205.82	0.32	2_dot
206.52	0.32	2_dot
207.22	0.32	2_dot_attn
207.9051	0.0	button_press
207.92	0.32	1_dot_attn
208.6052	0.0	button_press
208.62	0.32	1_dot_attn
208.924	0.0	button_press
209.32	0.32	1_dot
210.02	0.32	1_dot
210.72	0.32	1_dot
211.42	0.32	1_dot
212.12	0.32	20_dot
212.82	0.32	20_dot
213.52	0.32	20_dot
214.22	0.32	20_dot
214.94	0.3	20_dot
215.62	0.32	20_dot
216.32	0.32	20_dot_attn
217.0166	0.0	button_press
217.02	0.32	20_dot
217.72	0.32	20_dot_attn
218.42	0.32	20_dot
219.14	0.3	20_dot
219.82	0.32	20_dot
220.52	0.32	20_dot
221.22	0.32	20_dot
221.94	0.3	20_dot
222.62	0.32	20_dot
223.34	0.3	20_dot
224.04	0.3	20_dot
224.74	0.3	20_dot
225.42	0.32	20_dot
226.14	0.3	20_dot
226.84	0.3	20_dot
227.54	0.3	20_dot
228.22	0.32	20_dot
228.92	0.32	1_dot
229.62	0.32	1_dot
230.32	0.32	1_dot
231.02	0.32	1_dot
231.72	0.32	1_dot
232.42	0.32	1_dot_attn
233.12	0.32	2_dot
233.82	0.32	2_dot
234.52	0.32	2_dot
235.22	0.32	2_dot
235.92	0.32	2_dot
236.62	0.32	2_dot
237.32	0.32	3_dot
238.02	0.32	3_dot
238.72	0.32	3_dot
239.42	0.32	3_dot
240.12	0.32	3_dot
240.82	0.32	3_dot
241.52	0.32	4_dot_attn
241.8399	0.0	button_press
242.22	0.32	4_dot
242.92	0.32	4_dot
243.62	0.32	4_dot
244.32	0.32	4_dot
245.02	0.32	4_dot
245.72	0.32	5_dot_attn
246.0199	0.0	button_press
246.42	0.32	5_dot
247.12	0.32	5_dot
247.82	0.32	5_dot
248.52	0.32	5_dot
249.22	0.32	5_dot
249.94	0.3	20_dot
250.64	0.3	20_dot
251.34	0.3	20_dot
252.04	0.3	20_dot
252.74	0.3	20_dot
253.44	0.3	20_dot
254.14	0.3	20_dot
254.84	0.3	20_dot
255.54	0.3	20_dot
256.24	0.3	20_dot
256.93	0.3	20_dot
257.64	0.3	20_dot
258.33	0.28	20_dot
259.03	0.3	20_dot
259.73	0.3	20_dot
260.43	0.3	20_dot
261.13	0.3	20_dot
261.83	0.3	20_dot_attn
262.5183	0.0	button_press
262.53	0.3	20_dot
263.23	0.3	20_dot
263.93	0.28	20_dot
264.63	0.3	20_dot
265.33	0.3	20_dot
266.03	0.3	20_dot
266.72	0.32	5_dot
267.42	0.32	5_dot
268.12	0.32	5_dot
268.82	0.32	5_dot
269.52	0.32	5_dot
270.22	0.32	5_dot
270.92	0.32	4_dot
271.62	0.32	4_dot
272.32	0.32	4_dot
273.02	0.32	4_dot
273.72	0.32	4_dot
274.42	0.32	4_dot
275.12	0.32	3_dot
275.82	0.32	3_dot
276.52	0.32	3_dot
277.22	0.32	3_dot
277.92	0.32	3_dot
278.62	0.32	3_dot
279.32	0.32	2_dot
280.02	0.32	2_dot
280.72	0.32	2_dot
281.42	0.32	2_dot
282.12	0.32	2_dot
282.82	0.32	2_dot
283.52	0.32	1_dot
284.22	0.32	1_dot
284.92	0.32	1_dot
285.62	0.32	1_dot
286.32	0.32	1_dot
287.02	0.32	1_dot
287.73	0.3	20_dot
288.43	0.3	20_dot
289.13	0.3	20_dot
289.83	0.3	20_dot
290.53	0.3	20_dot
291.23	0.3	20_dot
291.93	0.3	20_dot
292.63	0.3	20_dot
293.33	0.3	20_dot
294.03	0.3	20_dot
294.73	0.3	20_dot
295.43	0.3	20_dot
296.13	0.3	20_dot
296.83	0.3	20_dot
297.53	0.3	20_dot_attn
298.2206	0.0	button_press
298.23	0.3	20_dot
298.93	0.3	20_dot_attn
299.62	0.0	button_press
299.63	0.3	20_dot
300.33	0.3	20_dot
301.03	0.3	20_dot
301.73	0.3	20_dot
302.43	0.3	20_dot
303.13	0.3	20_dot
303.83	0.3	20_dot
