onset	duration	trial_type
2.13	0.3	1_dot
2.83	0.3	1_dot
3.53	0.3	1_dot_attn
4.2107	0.0	button_press
4.23	0.3	1_dot
4.93	0.3	1_dot
5.63	0.3	1_dot
6.33	0.3	2_dot_attn
6.6176	0.0	button_press
7.03	0.3	2_dot
7.73	0.3	2_dot
8.43	0.3	2_dot
9.13	0.3	2_dot
9.83	0.3	2_dot
10.53	0.3	3_dot
11.23	0.3	3_dot
11.93	0.3	3_dot
12.63	0.3	3_dot
13.33	0.3	3_dot
14.03	0.3	3_dot
14.73	0.3	4_dot
15.43	0.3	4_dot
16.13	0.3	4_dot
16.83	0.3	4_dot
17.53	0.3	4_dot
18.23	0.3	4_dot
18.93	0.3	5_dot
19.63	0.3	5_dot
20.33	0.3	5_dot
21.03	0.3	5_dot
21.73	0.3	5_dot
22.43	0.3	5_dot
23.13	0.3	20_dot
23.84	0.28	20_dot
24.54	0.28	20_dot
25.24	0.28	20_dot
25.94	0.28	20_dot
26.64	0.28	20_dot
27.34	0.28	20_dot
28.04	0.28	20_dot
28.73	0.3	20_dot
29.43	0.3	20_dot
30.14	0.28	20_dot
30.84	0.28	20_dot
31.54	0.28	20_dot
32.24	0.3	20_dot
32.94	0.3	20_dot
33.64	0.3	20_dot
34.34	0.3	20_dot
35.04	0.3	20_dot
35.74	0.3	20_dot
36.44	0.3	20_dot
37.14	0.3	20_dot
37.84	0.3	20_dot_attn
38.5256	0.0	button_press
38.54	0.3	20_dot
39.23	0.3	20_dot
39.93	0.3	5_dot
40.63	0.3	5_dot
41.33	0.3	5_dot_attn
42.0133	0.0	button_press
42.03	0.3	5_dot
42.73	0.3	5_dot_attn
43.4133	0.0	button_press
43.43	0.3	5_dot_attn
44.1128	0.0	button_press
44.12	0.3	4_dot
44.82	0.3	4_dot
45.52	0.3	4_dot
46.22	0.3	4_dot
46.92	0.3	4_dot_attn
47.2271	0.0	button_press
47.62	0.3	4_dot
48.32	0.3	3_dot
49.02	0.3	3_dot
49.72	0.3	3_dot
50.42	0.3	3_dot
51.12	0.3	3_dot
51.82	0.3	3_dot
52.52	0.3	2_dot
53.22	0.3	2_dot
53.92	0.3	2_dot
54.62	0.3	2_dot
55.32	0.3	2_dot
56.02	0.3	2_dot
56.72	0.3	1_dot
57.42	0.3	1_dot
58.12	0.3	1_dot
58.82	0.3	1_dot
59.52	0.3	1_dot
60.22	0.3	1_dot_attn
60.9242	0.0	button_press
60.94	0.3	20_dot
61.64	0.3	20_dot
62.34	0.3	20_dot_attn
62.6212	0.0	button_press
63.04	0.3	20_dot
63.74	0.3	20_dot
64.44	0.3	20_dot
65.14	0.28	20_dot_attn
65.4156	0.0	button_press
65.84	0.3	20_dot
66.54	0.3	20_dot
67.24	0.28	20_dot_attn
67.5153	0.0	button_press
67.94	0.3	20_dot
68.64	0.3	20_dot
69.34	0.3	20_dot
70.04	0.28	20_dot
70.74	0.3	20_dot
71.44	0.28	20_dot_attn
71.7154	0.0	button_press
72.14	0.3	20_dot
72.84	0.3	20_dot
73.54	0.3	20_dot
