onset	duration	trial_type
2.13	0.3	1_dot
2.81	0.33	1_dot
3.51	0.33	1_dot
4.22	0.3	1_dot
4.92	0.3	1_dot_attn
5.6057	0.0	button_press
5.62	0.3	1_dot
6.33	0.3	2_dot
7.02	0.3	2_dot
7.72	0.3	2_dot
8.43	0.3	2_dot
9.12	0.3	2_dot
9.82	0.3	2_dot
10.52	0.3	3_dot
11.22	0.3	3_dot
11.92	0.3	3_dot
12.62	0.3	3_dot
13.32	0.3	3_dot
14.02	0.3	3_dot
14.72	0.3	4_dot
15.42	0.3	4_dot
16.12	0.3	4_dot
16.82	0.3	4_dot
17.52	0.3	4_dot
18.22	0.3	4_dot
18.92	0.3	5_dot
19.62	0.3	5_dot
20.32	0.3	5_dot
21.02	0.3	5_dot
21.72	0.3	5_dot_attn
22.408	0.0	button_press
22.42	0.32	5_dot
23.12	0.3	20_dot
23.84	0.3	20_dot
24.54	0.3	20_dot
25.22	0.3	20_dot_attn
25.9188	0.0	button_press
25.92	0.3	20_dot
26.62	0.3	20_dot
27.34	0.3	20_dot
28.02	0.3	20_dot
28.74	0.32	20_dot
29.42	0.3	20_dot
30.14	0.3	20_dot
30.82	0.3	20_dot
31.52	0.3	20_dot
32.22	0.3	20_dot
32.92	0.3	20_dot
33.62	0.3	20_dot
34.34	0.3	20_dot
35.04	0.3	20_dot
35.74	0.3	20_dot_attn
36.4146	0.0	button_press
36.42	0.3	20_dot
37.12	0.3	20_dot_attn
37.8178	0.0	button_press
37.82	0.3	20_dot
38.52	0.3	20_dot
39.22	0.3	20_dot_attn
39.9081	0.0	button_press
39.92	0.3	5_dot
40.62	0.3	5_dot
41.32	0.3	5_dot_attn
42.008	0.0	button_press
42.02	0.3	5_dot
42.72	0.3	5_dot
43.42	0.3	5_dot
44.12	0.3	4_dot
44.82	0.3	4_dot
45.52	0.3	4_dot
46.22	0.3	4_dot
46.92	0.3	4_dot_attn
47.6073	0.0	button_press
47.62	0.3	4_dot_attn
48.3067	0.0	button_press
48.32	0.3	3_dot
49.02	0.3	3_dot
49.72	0.3	3_dot
50.42	0.3	3_dot
51.12	0.3	3_dot
51.82	0.3	3_dot
52.52	0.3	2_dot
53.22	0.3	2_dot
53.92	0.3	2_dot
54.62	0.3	2_dot
55.32	0.3	2_dot
56.02	0.3	2_dot
56.72	0.3	1_dot_attn
57.42	0.3	1_dot
58.12	0.3	1_dot
58.82	0.3	1_dot
59.52	0.3	1_dot
60.22	0.3	1_dot
60.94	0.3	20_dot
61.64	0.3	20_dot
62.34	0.3	20_dot
63.04	0.3	20_dot_attn
63.74	0.3	20_dot
64.44	0.3	20_dot
65.14	0.3	20_dot
65.84	0.3	20_dot
66.54	0.3	20_dot
67.24	0.3	20_dot_attn
67.9286	0.0	button_press
67.94	0.3	20_dot
68.64	0.3	20_dot
69.34	0.32	20_dot
70.04	0.3	20_dot
70.74	0.3	20_dot
71.44	0.3	20_dot
72.14	0.3	20_dot
72.84	0.3	20_dot
73.54	0.3	20_dot
74.24	0.3	20_dot
74.94	0.3	20_dot
75.64	0.3	20_dot
76.34	0.3	20_dot
77.04	0.3	20_dot
77.72	0.3	1_dot
78.42	0.3	1_dot
79.12	0.3	1_dot
79.82	0.3	1_dot
80.52	0.3	1_dot
81.22	0.3	1_dot
81.92	0.32	2_dot
82.62	0.3	2_dot
83.32	0.3	2_dot_attn
84.0061	0.0	button_press
84.02	0.32	2_dot_attn
84.3365	0.0	button_press
84.72	0.32	2_dot
85.42	0.3	2_dot
86.12	0.3	3_dot
86.82	0.3	3_dot
87.52	0.3	3_dot
88.22	0.3	3_dot
88.92	0.3	3_dot
89.62	0.3	3_dot
90.32	0.3	4_dot
91.02	0.3	4_dot
91.72	0.3	4_dot_attn
92.4073	0.0	button_press
92.42	0.3	4_dot
93.12	0.3	4_dot
93.82	0.3	4_dot_attn
94.5079	0.0	button_press
94.52	0.3	5_dot
95.22	0.3	5_dot
95.92	0.3	5_dot
96.62	0.3	5_dot
97.32	0.3	5_dot
98.02	0.3	5_dot
98.73	0.3	20_dot
99.43	0.3	20_dot
100.13	0.3	20_dot
100.83	0.3	20_dot
101.53	0.3	20_dot
102.23	0.3	20_dot
102.93	0.3	20_dot
103.63	0.3	20_dot_attn
104.33	0.3	20_dot
105.03	0.3	20_dot_attn
105.7176	0.0	button_press
105.73	0.3	20_dot
106.43	0.3	20_dot
107.13	0.3	20_dot
107.83	0.3	20_dot
108.53	0.3	20_dot
109.23	0.3	20_dot
109.93	0.3	20_dot
110.63	0.3	20_dot_attn
111.33	0.3	20_dot
111.6144	0.0	button_press
112.03	0.3	20_dot
112.73	0.3	20_dot
113.43	0.3	20_dot
114.13	0.3	20_dot
114.83	0.32	20_dot
115.51	0.3	5_dot
116.21	0.3	5_dot
116.91	0.3	5_dot
117.61	0.3	5_dot
118.31	0.3	5_dot
